2021-07-01 21:50:12.833 [pool-8-thread-1] WARN  com.example.springbootdemo.daemon.HeartBeats - HeartBeats task alive , localHost: 192.168.8.238, worker info : {"@type":"com.example.springbootdemo.common.db.dao.worker.model.Worker","freeMemory":24301568,"host":"192.168.8.238","jobCount":0,"memory":17179869184}
2021-07-01 21:50:13.837 [pool-9-thread-1] WARN  com.example.springbootdemo.daemon.JobFetcher - fetch jobs list: []
2021-07-01 21:50:19.837 [pool-10-thread-1] WARN  com.example.springbootdemo.daemon.JobScheduler - 已提交列表的任务个数: 0
2021-07-01 21:50:19.843 [pool-10-thread-1] WARN  com.example.springbootdemo.daemon.JobScheduler - 服务正常的worker: [192.168.8.238]
2021-07-01 21:50:22.835 [pool-8-thread-1] WARN  com.example.springbootdemo.daemon.HeartBeats - HeartBeats task alive , localHost: 192.168.8.238, worker info : {"@type":"com.example.springbootdemo.common.db.dao.worker.model.Worker","freeMemory":19755008,"host":"192.168.8.238","jobCount":0,"memory":17179869184}
2021-07-01 21:50:23.839 [pool-9-thread-1] WARN  com.example.springbootdemo.daemon.JobFetcher - fetch jobs list: []
2021-07-01 21:50:28.836 [pool-10-thread-1] WARN  com.example.springbootdemo.daemon.JobScheduler - 已提交列表的任务个数: 0
2021-07-01 21:50:28.846 [pool-10-thread-1] WARN  com.example.springbootdemo.daemon.JobScheduler - 服务正常的worker: [192.168.8.238]
2021-07-01 21:50:32.833 [pool-8-thread-1] WARN  com.example.springbootdemo.daemon.HeartBeats - HeartBeats task alive , localHost: 192.168.8.238, worker info : {"@type":"com.example.springbootdemo.common.db.dao.worker.model.Worker","freeMemory":77979648,"host":"192.168.8.238","jobCount":0,"memory":17179869184}
2021-07-01 21:50:33.839 [pool-9-thread-1] WARN  com.example.springbootdemo.daemon.JobFetcher - fetch jobs list: []
2021-07-01 21:50:37.838 [pool-10-thread-1] WARN  com.example.springbootdemo.daemon.JobScheduler - 已提交列表的任务个数: 0
2021-07-01 21:50:37.843 [pool-10-thread-1] WARN  com.example.springbootdemo.daemon.JobScheduler - 服务正常的worker: [192.168.8.238]
2021-07-01 21:50:42.855 [pool-8-thread-1] WARN  com.example.springbootdemo.daemon.HeartBeats - HeartBeats task alive , localHost: 192.168.8.238, worker info : {"@type":"com.example.springbootdemo.common.db.dao.worker.model.Worker","freeMemory":26312704,"host":"192.168.8.238","jobCount":0,"memory":17179869184}
2021-07-01 21:50:43.837 [pool-9-thread-1] WARN  com.example.springbootdemo.daemon.JobFetcher - fetch jobs list: []
2021-07-01 21:50:46.839 [pool-10-thread-1] WARN  com.example.springbootdemo.daemon.JobScheduler - 已提交列表的任务个数: 0
2021-07-01 21:50:46.844 [pool-10-thread-1] WARN  com.example.springbootdemo.daemon.JobScheduler - 服务正常的worker: [192.168.8.238]
